ID;Name;Event;Event Details;Year
554;Eden Yin;Promotion;3. Associate Prof;2003
555;Eden Yin;Published;MktS;2003
556;Eden Yin;Published;JMR;2009
557;Eden Yin;Published;JMR;2009
558;Rajesh Bhargave;Promotion;1. Graduated;2009
559;Rajesh Bhargave;Promotion;2. Assistant Prof;2009
560;Rajesh Bhargave;Joined European Business School;Imperial;2016
561;Rajesh Bhargave;Published;JCR;2013
562;Rajesh Bhargave;Published;Org.Bhvr&HumDecPcs;2015
563;Rajesh Bhargave;Published;JMR;2016
564;Rajesh Bhargave;Published;JPSocialPsy;2018
565;Gokhan Yildirim;Promotion;1. Graduated;2012
566;Gokhan Yildirim;Promotion;2. Assistant Prof;2012
567;Gokhan Yildirim;Joined European Business School;Imperial;2016
568;Gokhan Yildirim;Published;MktS;2014
569;Gokhan Yildirim;Published;MktS;2017
570;Gokhan Yildirim;Published;Jmkting;2018
571;Sven Mikolon;Promotion;1. Graduated;2007
572;Sven Mikolon;Joined European Business School;Imperial;2008
573;Sven Mikolon;Promotion;2. Assistant Prof;2008
574;Sven Mikolon;Published;Jmkting;2012
575;Catarina Sismeiro;Promotion;1. Graduated;2002
576;Catarina Sismeiro;Promotion;2. Assistant Prof;2002
577;Catarina Sismeiro;Joined European Business School;Imperial;2004
578;Catarina Sismeiro;Promotion;3. Associate Prof;2009
579;Catarina Sismeiro;Published;JMR;2002
580;Catarina Sismeiro;Published;JMR;2003
581;Catarina Sismeiro;Published;JMR;2004
582;Catarina Sismeiro;Published;MgmtS;2008
583;Catarina Sismeiro;Published;JMR;2009
584;Andreas Eisingerich;Promotion;1. Graduated;2006
585;Andreas Eisingerich;Promotion;2. Assistant Prof;2006
586;Andreas Eisingerich;Joined European Business School;Imperial;2007
587;Andreas Eisingerich;Promotion;3. Associate Prof;
588;Andreas Eisingerich;Promotion;4. Prof;
589;Andreas Eisingerich;Published;Jmkting;2010
590;Andreas Eisingerich;Published;JOperMgmt;2015
591;Omer Merlo;Promotion;1. Graduated;2005
592;Omer Merlo;Promotion;2. Assistant Prof;2005
593;Omer Merlo;Joined European Business School;Imperial;2010
594;George Yip;Promotion;1. Graduated;1980
595;George Yip;Promotion;2. Assistant Prof;1980
596;George Yip;Promotion;3. Associate Prof;1988
597;George Yip;Joined European Business School;Imperial;2011
598;George Yip;Promotion;4. Prof;2011
599;Simona Botti;Published;JPSocialPsy;2004
600;Simona Botti;Published;JPP&Mkting;2006
601;Simona Botti;Published;Org.Bhvr&HumDecPcs;2010
602;Simona Botti;Published;JESPsy;2011
603;Simona Botti;Published;PsySci;2011
604;David Faro;Published;Org.Bhvr&HumDecPcs;2010
605;David Faro;Published;JPSocialPsy;2010
606;David Faro;Published;PsySci;2005
607;David Faro;Published;PsySci;2018
608;David Faro;Published;PsySci;2016
609;David Faro;Published;JPSocialPsy;2014
610;David Faro;Published;PsySci;2012
611;Shashja Lu;Promotion;1. Graduated;2015
612;Shashja Lu;Promotion;2. Assistant Prof;2015
613;Shashja Lu;Joined European Business School;Cambridge;2015
614;Shashja Lu;Published;MktS;2016
615;Dominique Lauga;Promotion;1. Graduated;1998
616;Dominique Lauga;Promotion;2. Assistant Prof;1998
617;Dominique Lauga;Joined European Business School;Cambridge;2015
618;Dominique Lauga;Published;MktS;2009
619;Dominique Lauga;Promotion;3. Associate Prof;2010
620;Dominique Lauga;Published;MktS;2011
621;Dominique Lauga;Published;JMR;2014
621;Julian Villanueva;Promotion;5. Chaired Professor;2016
